abbr;abbreviation
abs;absolute
sum;addition
addr;address
act;action
act;active
act;actual
alloc;allocation
alt;alternative
app;application
arr;array
arg;argument
async;asynchronous
attr;attribute
auth;authentication
avg;average
bg;background
bat;battery
bin;binary
bool;boolean
brk;break
bl;breakline
buf;buffer
btn;button
calc;calculator
cb;callback
cert;certificate
ch;channel
char;character
chk;check
csum;checksum
circ;circle
clr;clear
cmd;command
com;commercial
com;common
comm;common
com;communication
cmp;comparison
coll;collection
col;column
concat;concatenation
config;configuration
conf;configuration
conn;connection
ctx;context
cont;continue
ctrl;control
conv;conversation
coord;coordinate
cpy;copy
cos;cosine
cot;cotangent
cnt;counter
curr;current
cur;current
db;database
dbg;debug
dec;decimal
dec;decrease
def;default
def;definition
del;delete
dt;delta time
desc;description
dest;destination
dev;developer
dev;development
dev;device
diff;difference
dir;direction
dir;directory
dis;disable
disp;display
doc;document
drv;driver
dyn;dynamic
en;enable
env;environment
eq;equal
err;error
e;event
exe;execution
expr;expression
ext;extension
fac;factory
fd;file description
fig;figure
for example e.g.
fmt;format
func;function
f;function
fn;function
fp;function pointer
gen;generation
ge;greater or equal
gt;greater than
hw;hardware
hdr;header
h;height
hex;hexadecimal
hor;horizontal
id;identifier
img;image
impl;implementation
inc;inclusion
inc;increase
idx;index
info;information
init;initialization
in;input
ins;insertion
int;integer
iter;iterator
iface;interface
intf;interface
js;javascript
### L

lang;language
lat;latitude
len;length
le;less or equal
lt;less than
lib;library
ll;linked list
lon;longitude
mng;manager
max;maximum
mem;memory
msg;message
meta;metadata
mcu;microcontroller
mid;middle
min;minimum
misc;miscellaneous
mod;modulo
mplr;multiplier
mut;mutable
nav;navigation
net;network
nl;newline
n;no
$...;node
ne;not equal
num;number
num;number of
obj;object
key;object key
oct;octal
op;operation
opt;option
os;operating system
ord;order
org;organization
out;output
param;parameter
perf;performance
pic;picture
px;pixel
ptr;pointer
p;pointer
pos;position
pred;prediction
pref;preference
prev;previous
priv;private
proc;process
prod;production
prof;profiler
pwr;power
pub;public
q;query
qry;query
r;radius
rand;random
rng;range
recv;receive
rec;record
rect;rectangle
ref;reference
regex;regular expression
rgx;regular expression
rem;remote
repo;repository
req;request
res;result
res;response
ret;return
rev;revision
s;signed as prefix
sem;semaphore
sel;selection
sin;sine
seq;sequence
sqrt;square root
src;source
sw;software
stat;statistic
std;standard
stdio;standard input output
str;string
sync;synchronization
tmp;temperature
temp;temporary
txt;text
t;time
tmr;timer
ts;timestamp
2;to
tgl;toggle
tx;transaction
t;type
ts;typescript
u;user
usr;user
util;utility
val;value
var;variable
v;version
ver;version
ws;white space
w;width
win;window
